  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1587(ComplexDoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:159(_DerivedObserverOrFakeQuantize)
        1    0.000    0.000    0.000    0.000 __init__.py:159(c_ushort)
       32    0.000    0.000    0.001    0.000 __init__.py:1591(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1595(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:1597(ComplexFloatStorage)
      149    0.000    0.000    0.000    0.000 __init__.py:1598(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DimensionMismatchError)
        6    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
       32    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
       30    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1607(QUInt8Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1617(QInt8Storage)
        3    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1623(hasHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1627(QInt32Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:163(device)
        1    0.000    0.000    0.000    0.000 __init__.py:1637(QUInt4x2Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
